hotel_name,fixed_price,recomendation,jr_station
HOTEL ELDIA Fukuchiyama(Adult Only),2797,5.2,Fukuchiyama
Dormy Inn Osaka Natural Hot Springs (Tanimachi),2400,8.8,Osaka
Onyado Nono Nara Natural Hot Springs,2168,9.1,Nara
ESLEAD HOTEL Namba Daikokucho,2960,8.9,Osaka
Kokusai Hotel Yamaguchi,2077,7.9,Yamaguchi
Kakegawa Station Hotel,2096,7.9,Shizuoka
remm Plus Kobe Sannomiya,7074,8.9,Kobe
Papera Inn,3841,7.7,Shizuoka
Ark Hotel Osaka Shinsaibashi),1870,7.9,Osaka
Business Hotel Ams,1525,10,Fuji
SARASA HOTEL SHIN-OSAKA,1940,8.4,Osaka
Sunhotel Shizuoka,2942,7.7,Shizuoka
Guest House Kobe Nadeshikoya,5209,8.5,Kobe
Itoen Hotel Izukogen Annex,5114,8.8,Shizuoka
Chisun Hotel Hiroshima,2220,8.2,Hiroshima
Hotel Shin Imamiya,1891,7.3,Osaka
Okayama Guesthouse Igusa,1754,8.1,Okayama
APA Hotel Shinjuku-Kabukicho Tower,3189,8,Shinjuku
Tabist International Hotel Kaike,1325,8.3,Yonago
Hospitality Inn Yawatajuku,1259,7.4,Chiba
IZU KUMAMOTO OCEAN VIEW,3529,8.7,Shizuoka
Tottori City Hotel,1116,7.7,Tottori
HOTEL PAR-MAN,2340,7.5,Chiba
KIAN the guest house,2475,9.3,Matsue
Hotel Gyokusen,1985,8.3,Matsue
Hotel Route Inn Houfu Ekimae,2485,7.8,Yamaguchi
Hotel Route-Inn Kakegawa Inter (Hotel Route-Inn Kakegawa Inter),4706,8.4,Shizuoka
Hilton Hiroshima,11077,9,Hiroshima
Waso Mukuge,5846,9.4,Yonago
Grand Park Hotel Panex Chiba,1913,7.7,Chiba
Hotel Kiraku,2372,8.4,Yamaguchi
Hotel Juraku Kobe,20073,9,Kobe
Gunjonoma Yadokari,2325,10,Okayama
Hotel New Moustache,1351,8.1,Shizuoka
GuestHouse AZMO,1949,9.2,Matsue
DEL style Osaka Higashitemma by Daiwa Roynet Hotel,2340,8.9,Osaka
APA Hotel & Resort Osaka Umeda Eki Tower,8414,8.6,Osaka
SK HOTEL Kobe Ekimae,2966,8.8,Kobe
Fukuchiyama Sun Hotel,2210,7.8,Fukuchiyama
Citadines Harbour Front Yokohama,8224,9.1,Yokohama
Tokyo Bay Tokyu Hotel,9622,9.1,Tokyo
Super Hotel JR Fujiekimae Kinenkan,1376,8.1,Fuji
Toyoko Inn Hiroshima-ekimae Ohashi-minami,4287,7.9,Hiroshima
Shizuoka Castle Hotel Sanoharu,1403,7.6,Shizuoka
Candeo Hotels Osaka Namba,3920,8.6,Osaka
APA Hotel Ueno Ekimae,2169,8.5,Tokyo
Sakuragicho Washington Hotel,5325,8.1,Yokohama
Kobe Portopia Hotel,10271,8.6,Kobe
Hotel Water Gate Okayama,1717,8.5,Okayama
Hotel Okura Kobe,8296,8.7,Kobe
Sotetsu Fresa Inn Osaka-Namba,2800,8.8,Osaka
Green Hotel Fukude,1552,8.4,Shizuoka
Hotel Shinwaka Lodge,4716,7.1,Wakayama
Daiwa Roynet Hotel Chiba Ekimae,5359,8.8,Chiba
Hotel Route-Inn Fujieda Ekimae (Hotel Route-Inn Fujieda Ekimae),4250,8.3,Shizuoka
